uf,ano,populacao
SC,2020,7252502
SC,2021,7338473
SC,2022,7338473
SC,2023,8058441
SC,2024,8058441
SC,2025,8187029
SC,2026,8187029
SE,2015,2242937
SE,2016,2265779
SE,2017,2288116
SE,2018,2278308
SE,2019,2298696
SE,2020,2318822
SE,2021,2338474
SE,2022,2338474
SE,2023,2291077
SE,2024,2291077
SE,2025,2299425
SE,2026,2299425
SP,2015,44396484
SP,2016,44749699
SP,2017,45094866
SP,2018,45538936
SP,2019,45919049
SP,2020,46289333
SP,2021,46649132
SP,2022,46649132
SP,2023,45973194
SP,2024,45973194
SP,2025,46081801
SP,2026,46081801
TO,2015,1515126
TO,2016,1532902
TO,2017,1550194
TO,2018,1555229
TO,2019,1572866
TO,2020,1590248
TO,2021,1607363
TO,2022,1607363
TO,2023,1577342
TO,2024,1577342
TO,2025,1586859
TO,2026,1586859
